수집일,내부-내부CO2,외부-외부습도,내부-절대습도,내부-상대습도,외부-외부온도,내부-내부온도,외부-외부풍향,외부-외부풍속
2024-10-04,355.97,75.90,19.32,99.54,16.04,17.18,336.68,1.21
2024-10-05,366.30,74.82,19.07,99.95,16.29,16.63,319.96,0.68
2024-10-06,387.83,88.01,19.06,100.00,15.81,17.34,323.29,0.39
2024-10-07,396.01,85.82,19.06,99.97,16.55,17.93,317.08,0.17
2024-10-08,404.15,85.27,19.06,100.00,15.96,17.24,315.04,0.81
2024-10-09,378.15,77.67,19.06,100.00,16.96,17.04,298.00,0.53
2024-10-10,372.95,79.17,19.06,99.99,17.52,17.93,313.58,0.83
2024-10-11,387.31,77.49,19.06,100.00,16.99,16.89,309.13,0.65
2024-10-12,390.46,76.15,19.06,100.00,16.83,16.80,319.50,0.54
2024-10-13,392.01,74.21,19.06,100.00,16.92,16.85,190.17,0.06
2024-10-14,405.12,91.13,19.04,100.00,17.28,18.48,49.75,0.00
2024-10-15,399.87,95.54,19.06,99.79,18.69,19.85,161.54,0.00
2024-10-16,411.61,88.53,19.04,99.83,18.56,19.42,324.88,1.19
2024-10-17,411.72,80.16,19.04,99.97,18.85,18.51,287.46,0.38
2024-10-18,368.13,93.60,19.04,99.98,20.04,20.53,201.13,0.58
2024-10-19,357.92,86.58,19.03,99.81,18.51,19.10,214.83,2.06
2024-10-20,364.27,64.72,19.04,100.00,13.54,16.22,78.63,1.51
2024-10-21,389.51,84.03,19.04,99.98,13.18,15.02,53.54,0.32
2024-10-22,400.38,98.49,19.04,99.73,16.60,18.73,162.13,0.75
2024-10-23,375.23,74.86,19.04,99.91,13.89,16.53,298.79,2.50
2024-10-24,385.81,74.24,19.02,100.00,11.42,13.85,162.54,1.78
2024-10-25,391.41,78.90,19.03,100.00,12.94,14.35,63.67,0.00
2024-10-26,383.57,77.95,19.03,100.00,15.69,15.96,155.88,0.18
2024-10-27,397.68,89.34,19.03,100.00,14.87,16.56,296.50,0.06
2024-10-28,395.15,86.98,19.03,100.00,14.65,16.59,296.13,0.28
2024-10-29,380.33,74.44,19.03,100.00,15.20,16.33,196.08,0.07
2024-10-30,392.31,79.86,19.03,100.00,14.15,15.36,325.50,1.42
2024-10-31,395.15,74.90,19.02,100.00,14.10,14.99,328.50,0.50
2024-11-01,434.65,91.02,19.03,100.00,12.93,15.63,285.54,0.27
2024-11-02,391.69,79.42,19.01,99.97,16.55,16.80,40.00,1.34
2024-11-03,387.47,79.67,19.01,100.00,15.77,16.32,148.25,0.72
2024-11-04,392.44,78.60,19.01,100.00,13.96,15.65,297.63,1.85
2024-11-05,385.89,68.17,19.01,100.00,9.43,14.00,321.58,1.64
2024-11-06,393.81,66.05,19.01,81.17,6.83,13.06,312.21,1.17
2024-11-07,410.23,70.38,19.01,66.01,6.38,13.15,312.75,0.34
2024-11-08,420.37,74.80,19.00,67.21,8.92,14.49,300.13,0.73
2024-11-09,413.03,77.24,19.01,69.42,11.25,15.40,308.54,0.76
2024-11-10,414.46,79.30,19.00,74.54,12.65,15.60,252.54,0.00
2024-11-11,423.60,81.05,19.01,71.88,11.42,15.51,313.25,0.58
2024-11-12,419.71,79.42,19.01,73.37,12.13,15.61,299.67,0.87
2024-11-13,417.55,74.81,19.01,69.99,11.65,15.13,302.54,0.00
2024-11-14,421.78,77.60,18.99,77.83,13.37,16.18,259.04,0.08
2024-11-15,409.40,78.97,19.00,78.68,14.99,17.38,192.54,0.85
2024-11-16,396.67,75.27,18.99,74.58,16.33,18.94,294.58,0.86
2024-11-17,402.26,62.35,19.00,80.47,10.08,14.92,284.54,1.58
2024-11-18,390.36,36.37,18.99,64.81,3.74,12.26,65.83,1.38
2024-11-19,405.64,65.49,19.00,69.28,3.60,12.42,127.92,0.20
2024-11-20,414.06,73.89,19.00,70.55,5.80,12.91,327.38,0.82
2024-11-21,419.98,74.41,19.00,75.78,8.78,13.52,309.58,0.78
2024-11-22,406.77,68.60,18.99,69.99,6.58,12.77,245.21,0.70
2024-11-23,413.43,72.33,19.00,68.33,3.46,11.96,308.75,0.00
2024-11-24,417.65,72.14,19.00,69.27,5.23,12.17,315.29,0.10
2024-11-25,413.49,65.39,19.00,71.17,9.74,14.19,188.63,1.35
2024-11-26,404.01,68.83,18.99,79.60,8.38,13.67,278.13,2.96
2024-11-27,405.58,66.41,19.00,82.67,3.65,11.50,287.17,3.91
2024-11-28,401.86,61.45,19.00,80.37,5.44,11.99,292.13,3.11
2024-11-29,430.94,91.09,18.99,84.15,2.38,11.10,198.08,1.41
2024-11-30,417.23,83.38,18.99,77.49,4.22,11.48,136.25,1.19
2024-12-01,404.88,82.56,19.00,79.66,6.82,12.21,236.08,0.61
2024-12-02,407.36,82.43,19.00,76.83,7.86,12.62,237.92,2.51
2024-12-03,410.74,61.73,18.99,69.99,2.17,11.25,216.92,1.33
2024-12-04,393.81,59.04,19.00,68.71,3.38,12.65,169.13,0.66
2024-12-05,402.63,76.56,18.99,83.54,5.22,11.53,218.50,0.67
2024-12-06,395.88,70.94,19.00,77.63,4.70,11.69,309.46,1.17
2024-12-07,415.09,82.83,19.00,81.24,0.84,10.25,318.08,0.33
2024-12-08,395.66,70.35,18.99,66.37,0.73,11.68,335.17,1.48
2024-12-09,406.66,72.31,19.00,78.85,2.02,11.71,341.17,0.00
2024-12-10,404.56,67.27,19.00,69.24,3.28,12.50,223.79,1.63
2024-12-11,409.30,71.79,19.00,65.10,2.14,13.70,194.46,0.53
2024-12-12,401.72,69.90,18.99,64.44,0.37,13.06,278.67,0.30
2024-12-13,432.49,80.70,19.00,71.64,-0.03,12.97,209.00,0.66
2024-12-14,427.83,88.53,18.99,69.39,-0.76,13.60,186.88,0.32
2024-12-15,400.76,80.65,19.00,73.54,2.49,13.69,256.63,0.80
2024-12-16,390.01,65.79,19.00,70.26,3.20,14.67,174.38,0.47
2024-12-17,392.29,65.74,19.00,63.58,2.33,15.89,204.04,0.63
2024-12-18,385.39,64.13,18.99,66.20,-0.67,15.33,158.88,0.76
2024-12-19,404.10,69.54,19.00,58.83,-2.60,15.50,333.92,0.38
2024-12-20,457.88,76.60,19.00,70.76,-0.23,13.97,329.04,0.17
2024-12-21,445.06,79.49,18.99,69.66,1.26,15.03,318.83,1.74
2024-12-22,394.23,67.60,19.00,67.30,-2.12,12.35,339.63,1.16
2024-12-23,407.70,79.65,19.00,75.94,-0.58,11.22,318.04,0.87
2024-12-24,413.61,78.59,19.00,67.09,0.17,13.31,294.67,0.58
2024-12-25,401.47,77.79,19.00,68.31,2.20,14.11,301.38,0.95
2024-12-26,385.70,73.17,19.00,67.65,1.79,12.83,272.79,1.77
2024-12-27,381.50,65.88,18.99,67.44,0.22,14.17,209.67,0.43
2024-12-28,391.69,82.45,19.00,67.02,-0.98,14.49,255.58,0.07
2024-12-29,398.22,75.33,19.01,69.10,2.01,14.43,307.50,1.17
2024-12-30,407.13,71.13,19.00,69.17,5.57,15.49,227.33,1.00
2024-12-31,387.23,62.20,19.01,65.18,1.80,14.30,297.88,0.83
2025-01-01,391.21,72.81,19.01,67.45,1.07,12.91,285.33,1.05
2025-01-02,401.53,68.32,19.01,68.20,0.85,13.01,284.92,0.44
2025-01-03,391.71,62.24,19.00,63.15,-0.05,12.74,208.88,0.63
2025-01-04,384.05,74.70,19.01,68.66,0.12,13.16,272.92,0.13
2025-01-05,404.06,84.35,19.01,74.35,1.70,13.51,216.54,1.08
2025-01-06,404.95,78.63,19.00,71.24,2.24,14.77,293.58,1.85
2025-01-07,382.51,82.03,19.01,69.96,-1.30,13.54,309.71,0.87
2025-01-08,406.09,90.38,19.00,70.56,-1.63,14.44,329.21,0.69
2025-01-09,389.95,70.59,19.01,63.91,-7.01,13.93,274.88,1.20
2025-01-10,401.52,69.82,19.01,58.05,-7.44,15.28,39.29,0.00
2025-01-11,388.37,77.90,19.02,69.10,-2.67,14.03,43.00,0.00
2025-01-12,395.42,78.38,19.03,67.19,-2.09,12.61,134.54,0.00
2025-01-13,409.27,76.11,19.03,66.52,0.38,13.40,213.42,0.78
2025-01-14,405.18,72.31,19.03,66.82,3.02,14.78,242.58,1.29
2025-01-15,399.92,58.38,19.01,65.93,-0.79,13.15,258.54,1.45
2025-01-16,397.40,64.47,19.03,68.00,0.65,13.00,305.83,1.03
2025-01-17,410.83,69.81,19.01,64.87,-0.49,12.35,306.21,0.41
2025-01-18,425.75,68.33,19.03,63.97,-0.43,12.01,300.04,0.00
2025-01-19,412.35,74.99,19.01,66.24,1.10,12.63,305.38,0.00
2025-01-20,411.12,79.71,19.03,69.66,1.47,12.76,307.75,0.80
2025-01-21,425.40,80.69,19.04,66.58,0.94,12.74,292.25,0.00
2025-01-22,430.86,84.50,19.04,70.46,1.85,13.15,274.71,0.63
2025-01-23,423.96,76.46,19.04,65.34,0.75,12.70,284.34,0.67
2025-01-24,420.13,62.22,19.04,61.40,1.21,12.62,311.38,1.04
2025-01-25,407.28,61.49,19.04,62.48,2.72,13.79,185.88,0.97
2025-01-26,383.96,62.77,19.03,70.44,3.15,14.27,71.33,0.11
2025-01-27,382.69,84.85,19.04,73.04,0.32,13.74,248.92,1.76
2025-01-28,374.88,84.94,19.04,73.27,-1.01,11.80,285.50,2.65
2025-01-29,371.19,81.06,19.04,70.39,-2.14,12.82,320.21,1.84
2025-01-30,402.53,78.87,19.04,68.23,-2.22,11.36,182.83,0.00
2025-01-31,402.15,79.49,19.04,71.93,1.76,13.36,115.42,0.03
2025-02-01,421.92,89.29,19.06,74.66,3.11,14.95,227.92,0.49
2025-02-02,430.04,84.52,19.06,68.84,1.38,14.19,171.29,0.25
2025-02-03,410.85,62.82,19.04,60.76,-0.64,14.27,315.54,2.91
2025-02-04,411.29,65.74,19.06,60.57,-4.81,12.76,326.58,2.06
2025-02-05,394.80,72.39,19.06,63.58,-5.83,11.75,320.50,1.03
2025-02-06,394.10,70.84,19.06,61.33,-3.92,11.45,279.25,0.32
2025-02-07,399.24,76.99,19.04,64.56,-5.08,12.31,278.29,2.22
2025-02-08,391.33,70.71,19.06,54.73,-6.83,14.31,310.29,1.69
2025-02-09,396.94,73.08,19.06,61.09,-3.93,11.60,278.50,0.00
2025-02-10,406.02,78.08,19.07,60.79,-2.83,11.83,277.58,0.50
2025-02-11,410.26,63.98,19.07,53.18,-0.27,14.45,304.42,0.00
